web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,detail,nombre_chambre,nombre_salle_bain,superficie,adresse,ville,prix,image_link-src
"1707690628-119","https://www.expat-dakar.com/appartements-meubles?page=86","Studio a louer a Sud Foire
1 chambre
Sud foire,
Dakar

22. mai '23, 03:55

15 000 F Cfa

774080123

+33763071550","https://www.expat-dakar.com/annonce/studio-a-louer-a-sud-foire-5055550","Studio a louer a Sud Foire","1","1","","Sud foire","Dakar","15 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9ce35a18c6cac2d52da8e0323b3743df/-/horizon-files-prod/ed/picture/qwq57n6/ffc4e246bd38804c04bf8681c7233f0e20b3d6d6.jpg"
"1707690630-120","https://www.expat-dakar.com/appartements-meubles?page=86","Appartement meublé à louer à Yoff
2 chambre32 m²
Yoff,
Dakar

9. juin '23, 16:48

9 000 F Cfa

770671620

776381806","https://www.expat-dakar.com/annonce/appartement-meuble-a-louer-a-yoff-2749944","Appartement meublé à louer à Yoff","2","","32 m²","Yoff","Dakar","9 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f653eb07c8c222f680b7a08410a1b415/-/horizon-files-prod/ed/picture/migrated/q59gv0x/ddaa6deab78dd1f87420a2548459eb8ee3f064e7.jpg"
"1707690633-121","https://www.expat-dakar.com/appartements-meubles?page=86","Appartement Meublé à louer aux Almadies

Almadies,
Dakar

10. juin '23, 15:38

50 000 F Cfa

781764049

764025181","https://www.expat-dakar.com/annonce/appartement-meuble-a-louer-aux-almadies-5277557","Appartement Meublé à louer aux Almadies","","","","Almadies","Dakar","50 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/618766b0f4a3ad9d0529367b7fa51e1a/-/horizon-files-prod/ed/picture/qgq50752/317de0d330e9cb41db5c8a73e6a188b90026b8b9.jpg"
"1707690635-122","https://www.expat-dakar.com/appartements-meubles?page=86","STUDIO MEUBLÉ À LOUER POINT E
1 chambre65 m²
Point-e,
Dakar

jeudi, 18:00

55 000 F Cfa

779811919

338252230

704500101","https://www.expat-dakar.com/annonce/studio-meuble-a-louer-point-e-4853597","STUDIO MEUBLÉ À LOUER POINT E","1","1","65 m²","Point-e","Dakar","55 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/23bb04fd1481769e34a3079a6bb40746/-/horizon-files-prod/ed/picture/q4x9kd4/86e15c98a7e37165a527a3bfca8529ef00b6412a.jpg"
"1707690637-123","https://www.expat-dakar.com/appartements-meubles?page=86","DUPLEX MEUBLÉ À LOUER SUR LA CORNICHE OUEST
3 chambre275 m²
Mermoz,
Dakar

23. janv., 18:19

779811919

338252230

704500101","https://www.expat-dakar.com/annonce/duplex-meuble-a-louer-sur-la-corniche-ouest-4880034","DUPLEX MEUBLÉ À LOUER SUR LA CORNICHE OUEST","3","3","275 m²","Mermoz","Dakar","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c00ac42e298c95910d4cf54cc36619f0/-/horizon-files-prod/ed/picture/qmz267w/40fd767c79e556185f7489d4937d75ce45e4982d.jpg"
"1707690640-124","https://www.expat-dakar.com/appartements-meubles?page=86","Appartement meublé aux Mamelles
1 chambre50 m²
Ouakam,
Dakar

19. juin '23, 08:04

25 000 F Cfa

776993913

762763777","https://www.expat-dakar.com/annonce/appartement-meuble-aux-mamelles-3340539","Appartement meublé aux Mamelles","1","1","50 m²","Ouakam","Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/cd9c490b75087ceb192a4b582fb61845/-/horizon-files-prod/ed/picture/q29kv4v/b48795bfbfdce94e8a0a90b6a97de6d5cd8463df.jpg"
"1707690642-125","https://www.expat-dakar.com/appartements-meubles?page=86","Studio meublé à la résidence Safari

Saly,
Thiès

19. juin '23, 18:56

50 000 F Cfa

781717800","https://www.expat-dakar.com/annonce/studio-meuble-a-la-residence-safari-4837518","Studio meublé à la résidence Safari","","","","Saly","Thiès","50 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/50ad0b5941932dfa6b19ff5320053ab8/or%3D90/horizon-files-prod/ed/picture/qd5m0v7/98369e8a94b467ac1a3cbda5c3388494ca56b7e2.jpg"
"1707690645-126","https://www.expat-dakar.com/appartements-meubles?page=86","“Une très belle vue sur la mer ”
1 chambre85 m²
Cambérène,
Dakar

20. juin '23, 01:30

20 000 F Cfa

771855971","https://www.expat-dakar.com/annonce/une-tres-belle-vue-sur-la-mer-4698275","“Une très belle vue sur la mer ”","1","2","85 m²","Cambérène","Dakar","20 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/370df17d0c4f35766729b2fc49ab7072/-/horizon-files-prod/ed/picture/q4x458e/23c7e6c40573013bc11feaf3e39ecfa9a3536b0f.jpg"
"1707690647-127","https://www.expat-dakar.com/appartements-meubles?page=86","Appartements haut standing meublé à louer
3 chambre1 m²
Almadies,
Dakar

20. juin '23, 09:21

Vendeur vérifié

50 000 F Cfa

784477856

776817165

773903516","https://www.expat-dakar.com/annonce/appartements-haut-standing-meuble-a-louer-5746718","Appartements haut standing meublé à louer","3","3","1 m²","Almadies","Dakar","50 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8c699d057f4627da306a7130128242fb/-/horizon-files-prod/ed/picture/qdew6q24/dc23d44d48f0ef827106d97de3cb2f2d85275bd0.jpg"
"1707690652-128","https://www.expat-dakar.com/appartements-meubles?page=85","Villa meublée à Saly
3 chambre1,500 m²
Saly Portudal,
Thiès

21. juin '23, 06:35

781717800","https://www.expat-dakar.com/annonce/villa-meublee-a-saly-2938230","Villa meublée à Saly","3","3","1,500 m²","Saly Portudal","Thiès","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/54c92a14dd407ff0bb2551ea9848fe35/-/horizon-files-prod/ed/picture/q8xdj8j/e5d391796a7ac5aacf25231f7c50a9f565364ba5.jpg"
