web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,detail,nombre_chambre,nombre_salle_bain,superficie,adresse,ville,prix,image_link-src
"1707688577-71","https://www.expat-dakar.com/appartements-a-louer?page=4","Appartement avec belle vue sur mer à Fann Résidence
4 chambre
Fann,
Dakar

vendredi, 15:47

2 500 000 F Cfa

775631616","https://www.expat-dakar.com/annonce/appartement-avec-belle-vue-sur-mer-a-fann-residence-5764218","Appartement avec belle vue sur mer à Fann Résidence","4","5","","Fann","Dakar","2 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d2c87371c31c33d7a181354e0d282212/-/horizon-files-prod/ed/picture/qdewzd65/a23865e028502e1e8f01b2afa4244118c9697148.jpg"
"1707688582-72","https://www.expat-dakar.com/appartements-a-louer?page=3","APPARTEMENT F4 À N'GOR VIRAGE
3 chambre250 m²
Yoff,
Dakar

vendredi, 15:59

850 000 F Cfa

778298993","https://www.expat-dakar.com/annonce/appartement-f4-a-ngor-virage-6000867","APPARTEMENT F4 À N'GOR VIRAGE","3","","NOUS AVONS 2 APPARTEMENTS F4 VIDE AVEC VUE SUR MER À NGOR VIRAGE","Yoff","Dakar","850 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/03be399fa4cbf15f4d5c9a4ea1231870/-/horizon-files-prod/ed/picture/q785dr9q/e8ab73798ba3382124c64766f12efc0f854e1c87.jpg"
"1707688584-73","https://www.expat-dakar.com/appartements-a-louer?page=3","Bel appartement moderne aux Mamelles
2 chambre
Mamelles,
Dakar

vendredi, 16:14

350 000 F Cfa

777488842","https://www.expat-dakar.com/annonce/bel-appartement-moderne-aux-mamelles-6000895","Bel appartement moderne aux Mamelles","2","2","","Mamelles","Dakar","350 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/3c1f0b98a581bc240cce0fe563d48216/-/horizon-files-prod/ed/picture/qq47k8vp/a6d3f88bbd46cb6896b097aba63ec98898cdf146.jpg"
"1707688586-74","https://www.expat-dakar.com/appartements-a-louer?page=3","APPARTEMENT A LOUER
3 chambre110 m²
Almadies 2,
Dakar

vendredi, 16:42

275 000 F Cfa

776866139

776866048

776866024","https://www.expat-dakar.com/annonce/appartement-a-louer-5989507","APPARTEMENT A LOUER","3","3","","Almadies 2","Dakar","275 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f42d0d9fc54de7310cdfea533b9b1ab6/-/horizon-files-prod/ed/picture/qq478vqw/9400d06fe47935fe4fbcbcf4ccf824c25a15768a.jpg"
"1707688589-75","https://www.expat-dakar.com/appartements-a-louer?page=3","APPARTEMENT À LOUER
3 chambre90 m²
Almadies 2,
Dakar

vendredi, 16:42

300 000 F Cfa

776866139

776866048

776866024","https://www.expat-dakar.com/annonce/appartement-a-louer-5989116","APPARTEMENT À LOUER","3","2","","Almadies 2","Dakar","300 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/95e373e2bd076bea1707811ccdfdb6d0/-/horizon-files-prod/ed/picture/qpd6q2mq/b149f29bda6ad2c97fc64656308e31be966eec0f.jpg"
"1707688591-76","https://www.expat-dakar.com/appartements-a-louer?page=3","Appartement à louer aux Almadies
3 chambre
Almadies,
Dakar

vendredi, 17:16

1 700 000 F Cfa

783919539","https://www.expat-dakar.com/annonce/appartement-a-louer-aux-almadies-5761836","Appartement à louer aux Almadies","3","","","Almadies","Dakar","1 700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/89f623e0a49f69ebc7871dfc64188522/-/horizon-files-prod/ed/picture/qkr5d5dn/33eecac12787421197bafd1a88514f747ffd8d97.jpg"
"1707688594-77","https://www.expat-dakar.com/appartements-a-louer?page=3","Magnifique appartement à louer à sacre coeur
3 chambre150 m²
Sicap Sacré-cœur,
Dakar

vendredi, 19:55

500 000 F Cfa

776953266","https://www.expat-dakar.com/annonce/magnifique-appartement-a-louer-a-sacre-coeur-5971804","Magnifique appartement à louer à sacre coeur","3","","","Sicap Sacré-cœur","Dakar","500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/36b3eef0971c52e66c55550f1b181615/-/horizon-files-prod/ed/picture/q9m9w7gx/79df3c4962ae8303bfaa3e6ace26db679964fbde.jpg"
"1707688596-78","https://www.expat-dakar.com/appartements-a-louer?page=3","APPARTEMENT F5 OUAKAM
4 chambre
Ouakam,
Dakar

vendredi, 22:55

400 000 F Cfa

773752863

771059344","https://www.expat-dakar.com/annonce/appartement-f5-ouakam-6001061","APPARTEMENT F5 OUAKAM","4","3","","Ouakam","Dakar","400 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d536555ea00c01ac2ff482a866ae3a82/-/horizon-files-prod/ed/picture/q2jq2ned/f444d08b14199f8f5bdd17431428b848b68a5528.jpg"
"1707688599-79","https://www.expat-dakar.com/appartements-a-louer?page=3","Appartements F4 neufs a louer aux Almadies
3 chambre
Almadies,
Dakar

jeudi, 10:57

1 600 000 F Cfa

766343415

776108934","https://www.expat-dakar.com/annonce/appartements-f4-neufs-a-louer-aux-almadies-5998472","Appartements F4 neufs a louer aux Almadies","3","4","Appartements F4 + Service (210 à 250m2)

Composé de :","Almadies","Dakar","1 600 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0d17ab00f11049b321b8e134edc484a6/-/horizon-files-prod/ed/picture/qwe29n84/569945a7bbbdc4ef2a6b214ffedbe80ae7f8407d.jpg"
"1707688601-80","https://www.expat-dakar.com/appartements-a-louer?page=3","APPARTEMENT F5 A LOUER
4 chambre165 m²
Virage,
Dakar

Hier, 01:55

650 000 F Cfa

784689081","https://www.expat-dakar.com/annonce/appartement-f5-a-louer-5255641","APPARTEMENT F5 A LOUER","4","5","","Virage","Dakar","650 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/40c4491d123f59aa2f5531a4bcef187c/-/horizon-files-prod/ed/picture/q56wg8k0/c71338f630323ee5d976207625eb62d17d51a2a7.jpg"
